#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-04T08:58:10 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-04T08:58:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=IV/27A/catalog&-order=I&-out=HR&-out=HIP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_4027
#Name: IV/27A
#Title: HD-DM-GC-HR-HIP-Bayer-Flamsteed Cross Index (Kostjuk, 2002)
#INFO	ivoid=ivo://cds.vizier/iv/27a	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/iv/27a	    IVOID of underlying data collection
#INFO	creator=Kostjuk N.D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/IV/27A	    Dataset landing page
#INFO	publication_date=2020-07-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	IV_27A_catalog:
#Name: IV/27A/catalog
#Title: HD-DM-GC-HR-HIP-Bayer-Flamsteed Cross Index
#Column	HR	(I4)	[1/9110]? Harvard Revised Number=Bright Star Number <V/50> if one exists, otherwise blank	[ucd=meta.id]
#Column	HIP	(I6)	[1/120416]? Hipparcos Catalog <I/196> number if one exists, otherwise blank	[ucd=meta.id]
HR	HIP
 	
----	------
   3	   443
   4	   476
   7	   531
  11	   635
  14	   664
  15	   677
  21	   746
  22	   729
  24	   761
  25	   765
  26	   813
  27	   841
  30	   814
  33	   910
  34	   930
  35	   950
  39	  1067
  41	  1086
  45	  1168
  48	  1170
  50	  1196
  59	  1319
  63	  1366
    	  1392
  65	  1415
  68	  1473
  70	  1501
  74	  1562
    	  1595
  77	  1599
  80	  1645
  82	  1686
  83	  1647
  84	  1708
  85	  1728
  86	  1772
  88	  1803
  90	
  93	  1960
    	  1902
  97	  2006
    	  2025
  98	  2021
  99	  2081
 100	  2072
 101	  2100
    	  2213
 103	  2219
 105	  2210
 106	  2224
 114	  2355
 117	  2353
 121	  2474
 123	  2505
 125	  2472
 126	  2484
 127	  2487
 130	  2599
 131	  2568
 132	  2548
 136	  2578
 137	  2707
 139	  2629
 142	  2762
 143	  2787
 147	  2802
 153	  2920
 154	  2912
 155	  2903
    	  2994
 163	  3031
 165	  3092
 166	  3093
 167	  3138
 168	  3179
 175	  3231
 179	  3300
 180	  3245
 183	  3277
 184	  3414
 185	  3356
 187	  3330
 188	  3419
 189	  3478
 191	  3405
 192	  3572
 193	  3504
 194	  3455
 195	  3456
 203	  3559
 208	  3721
 211	  3632
 213	  3675
 214	  3685
 215	  3693
 216	  3697
 217	  3730
 219	  3821
 221	  3760
 223	  3801
 224	  3786
 225	  3810
 226	  3881
 230	  3885
 231	
 235	  3909
 236	  3781
 242	  3949
 248	  4147
 252	  4084
 253	  4292
 254	  4267
 255	  4257
 258	  4288
 262	  4366
 264	  4427
 265	  4422
 267	  4371
 269	  4436
 270	  4293
 271	  4463
 274	  4510
    	  4843
 279	  4587
 280	  4577
 285	  5372
 288	  4770
 290	  4903
 291	  4889
 293	  4852
 294	  4906
