HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
2491,32349,9Alp CMa,6.752472222222222,101.28708333333333,-16.71611111111111,-1.46
2326,30438,Alp Car,6.399194444444445,95.98791666666668,-52.69583333333333,-0.72
5340,69673,16Alp Boo,14.261027777777779,213.9154166666667,19.1825,-0.04
5459,71683,Alp1Cen,14.659972222222223,219.89958333333334,-60.83527777777778,-0.01
7001,91262,3Alp Lyr,18.615638888888892,279.2345833333334,38.78361111111111,0.03
1708,24608,13Alp Aur,5.2781666666666665,79.1725,45.99805555555556,0.08
1713,24436,19Bet Ori,5.242305555555555,78.63458333333332,-8.201666666666666,0.12
2943,37279,10Alp CMi,7.655027777777778,114.82541666666667,5.2250000000000005,0.38
472,7588,Alp Eri,1.6285833333333333,24.42875,-57.236666666666665,0.46
2061,27989,58Alp Ori,5.919527777777778,88.79291666666667,7.406944444444445,0.5
5267,68702,Bet Cen,14.063722222222223,210.95583333333335,-60.37305555555555,0.61
7557,97649,53Alp Aql,19.84638888888889,297.6958333333333,8.868333333333334,0.77
1457,21421,87Alp Tau,4.5986666666666665,68.97999999999999,16.509166666666665,0.85
6134,80763,21Alp Sco,16.490111111111112,247.3516666666667,-26.431944444444447,0.96
5056,65474,67Alp Vir,13.419888888888888,201.29833333333332,-11.161388888888888,0.98
2990,37826,78Bet Gem,7.75525,116.32875,28.02611111111111,1.14
8728,113368,24Alp PsA,22.96086111111111,344.41291666666666,-29.622222222222224,1.16
4853,62434,Bet Cru,12.795333333333334,191.93,-59.68861111111111,1.25
7924,102098,50Alp Cyg,20.690527777777778,310.35791666666665,45.280277777777776,1.25
5460,71681,Alp2Cen,14.660027777777778,219.90041666666667,-60.83555555555556,1.33
4730,60718,Alp1Cru,12.443305555555556,186.64958333333334,-63.09916666666667,1.33
3982,49669,32Alp Leo,10.139527777777777,152.09291666666667,11.967222222222222,1.35
2618,33579,21Eps CMa,6.977083333333334,104.65625,-28.97222222222222,1.5
